Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
CONFLANS-FIN-D'OISE;87381459;JOB;2023-11-14;2023;J;J6;Avant 6h;23
SEVRAN-LIVRY;87271429;SAM;2019-03-16;2019;B;B;Après 20h;533
CONFLANS-FIN-D'OISE;87381459;JOB;2023-11-14;2023;J;J6;De 6h à 10h;716
SEVRAN-LIVRY;87271429;JOB;2023-05-10;2023;B;B;Après 20h;297
CONFLANS-FIN-D'OISE;87381459;JOB;2023-11-14;2023;L;L3;Après 20h;19
SEVRAN-LIVRY;87271429;JOB;2023-10-10;2023;B;B;Avant 6h;16
CONFLANS-SAINTE-HONORINE;87381897;SAM;2023-11-18;2023;J;J6;Après 20h;401
SEVRAN-LIVRY;87271429;JOB;2023-10-10;2023;B;B;De 10h à 16h;405
CONFLANS-SAINTE-HONORINE;87381897;JOB;2023-11-14;2023;J;J6;Avant 6h;181
SEVRES-RIVE-GAUCHE;87393124;SAM;2023-11-18;2023;N;N;Avant 6h;12
CORBEIL-ESSONNES;87681007;DIM;2024-03-03;2024;D;D;De 16h à 20h;2191
SEVRES-RIVE-GAUCHE;87393124;DIM;2023-11-19;2023;N;N;De 10h à 16h;321
CORBEIL-ESSONNES;87681007;DIM;2024-03-03;2024;D;D;De 6h à 10h;1087
SEVRES-RIVE-GAUCHE;87393124;JOB;2023-11-14;2023;N;N;Après 20h;103
CORBEIL-ESSONNES;87681007;JOB;2024-05-03;2024;D;D;Avant 6h;831
SEVRES-VILLE-D'AVRAY;87382341;SAM;2023-11-18;2023;L;L2;De 16h à 20h;549
CORBEIL-ESSONNES;87681007;JOB;2024-12-03;2024;D;D;Après 20h;127
SEVRES-VILLE-D'AVRAY;87382341;DIM;2016-03-13;2016;U;U;De 10h à 16h;82
CORBEIL-ESSONNES;87681007;JOB;2024-02-04;2024;D;D;De 16h à 20h;2533
SEVRES-VILLE-D'AVRAY;87382341;JOB;2016-03-15;2016;U;U;De 6h à 10h;570
CORMEILLES-EN-PARISIS;87381863;SAM;2023-11-18;2023;J;J6;Avant 6h;23
SEVRES-VILLE-D'AVRAY;87382341;JOB;2016-03-17;2016;U;U;De 10h à 16h;75
CORMEILLES-EN-PARISIS;87381863;SAM;2023-11-18;2023;J;J6;De 16h à 20h;822
SEVRES-VILLE-D'AVRAY;87382341;JOB;2023-11-14;2023;L;L2;De 10h à 16h;987
CORMEILLES-EN-PARISIS;87381863;DIM;2023-11-19;2023;J;J6;Après 20h;168
SEVRES-VILLE-D'AVRAY;87382341;JOB;2023-11-14;2023;L;L2;De 6h à 10h;1429
CORMEILLES-EN-PARISIS;87381863;DIM;2023-11-19;2023;J;J6;De 6h à 10h;375
SOUPPES-CHATEAU-LANDON;87684217;DIM;2023-11-19;2023;R;R;Après 20h;48
COUILLY-SAINT-GERMAIN-QUINCY;87116731;SAM;2023-09-16;2023;P;P;Avant 6h;3
STADE-DE-FRANCE-SAINT-DENIS;87164780;DIM;2024-03-03;2024;D;D;Avant 6h;11
COUILLY-SAINT-GERMAIN-QUINCY;87116731;SAM;2023-09-16;2023;P;P;De 10h à 16h;29
STADE-DE-FRANCE-SAINT-DENIS;87164780;DIM;2024-03-03;2024;D;D;De 10h à 16h;958
COULOMMIERS;87116301;SAM;2023-11-18;2023;P;P;Après 20h;60
STADE-DE-FRANCE-SAINT-DENIS;87164780;JOB;2024-05-03;2024;D;D;De 10h à 16h;2388
COULOMMIERS;87116301;SAM;2023-11-18;2023;P;P;De 10h à 16h;397
STAINS-LA-CERISAIE;87697334;DIM;2021-11-21;2021;T11;T11;Avant 6h;17
COULOMMIERS;87116301;DIM;2023-11-19;2023;P;P;Après 20h;59
STAINS-LA-CERISAIE;87697334;DIM;2021-11-21;2021;T11;T11;De 16h à 20h;461
COULOMMIERS;87116301;JOB;2023-11-14;2023;P;P;Après 20h;48
STAINS-LA-CERISAIE;87697334;JOB;2021-11-23;2021;T11;T11;Après 20h;178
COURBEVOIE;87382200;SAM;2023-11-18;2023;L;L2;Après 20h;548
SURESNES-MONT-VALERIEN;87382374;SAM;2016-12-03;2016;U;U;De 10h à 16h;119
COURBEVOIE;87382200;SAM;2023-11-18;2023;L;L2;De 6h à 10h;586
SURESNES-MONT-VALERIEN;87382374;DIM;2016-03-13;2016;U;U;De 6h à 10h;11
COURBEVOIE;87382200;DIM;2023-11-19;2023;L;L2;De 10h à 16h;1341
SURESNES-MONT-VALERIEN;87382374;JOB;2016-03-15;2016;U;U;Avant 6h;2
COURBEVOIE;87382200;DIM;2023-11-19;2023;L;L2;De 6h à 10h;330
SURESNES-MONT-VALERIEN;87382374;JOB;2016-03-15;2016;U;U;De 10h à 16h;49
COURBEVOIE;87382200;JOB;2023-11-14;2023;L;L2;De 16h à 20h;1953
SURVILLIERS-FOSSES;87276261;SAM;2024-02-03;2024;D;D;Avant 6h;41
CRECY-LA-CHAPELLE;87116772;SAM;2023-09-16;2023;P;P;De 16h à 20h;74
SURVILLIERS-FOSSES;87276261;DIM;2024-03-03;2024;D;D;Avant 6h;33
CRECY-LA-CHAPELLE;87116772;SAM;2023-09-16;2023;P;P;De 6h à 10h;52
TACOIGNIERES-RICHEBOURG;87393454;SAM;2023-11-18;2023;N;N;Après 20h;12
CREIL;87276006;DIM;2023-11-19;2023;H;H;De 16h à 20h;88
TACOIGNIERES-RICHEBOURG;87393454;JOB;2023-11-14;2023;N;N;Après 20h;7
CREIL;87276006;DIM;2024-03-03;2024;D;D;De 10h à 16h;216
TACOIGNIERES-RICHEBOURG;87393454;JOB;2023-11-14;2023;N;N;De 10h à 16h;56
CREIL;87276006;DIM;2024-03-03;2024;D;D;De 16h à 20h;70
TAVERNY;87276634;DIM;2023-11-19;2023;H;H;De 10h à 16h;471
CREIL;87276006;JOB;2023-11-14;2023;H;H;Après 20h;30
TAVERNY;87276634;DIM;2023-11-19;2023;H;H;De 16h à 20h;352
CREIL;87276006;JOB;2023-11-14;2023;H;H;De 6h à 10h;161
TAVERNY;87276634;JOB;2023-11-14;2023;H;H;Avant 6h;56
CREIL;87276006;JOB;2024-05-03;2024;D;D;Après 20h;38
THIEUX-NANTOUILLET;87272054;SAM;2023-11-18;2023;K;K;De 16h à 20h;4
CRETEIL-POMPADOUR;87608802;SAM;2024-02-03;2024;D;D;Après 20h;1381
THIEUX-NANTOUILLET;87272054;DIM;2023-11-19;2023;K;K;De 16h à 20h;3
CRETEIL-POMPADOUR;87608802;SAM;2024-02-03;2024;D;D;De 16h à 20h;2546
THIEUX-NANTOUILLET;87272054;JOB;2023-11-14;2023;K;K;Après 20h;1
CRETEIL-POMPADOUR;87608802;SAM;2024-02-03;2024;D;D;De 6h à 10h;1683
THIEUX-NANTOUILLET;87272054;JOB;2023-11-14;2023;K;K;De 16h à 20h;10
CRETEIL-POMPADOUR;87608802;DIM;2024-03-03;2024;D;D;De 10h à 16h;3511
THOMERY;87682252;SAM;2023-11-18;2023;R;R;De 16h à 20h;66
CROUY-SUR-OURCQ;87116640;SAM;2023-09-16;2023;P;P;Avant 6h;0
THOMERY;87682252;DIM;2023-11-19;2023;R;R;Après 20h;16
CROUY-SUR-OURCQ;87116640;SAM;2023-09-16;2023;P;P;De 6h à 10h;42
THOMERY;87682252;JOB;2023-11-14;2023;R;R;De 10h à 16h;64
CROUY-SUR-OURCQ;87116640;JOB;2023-09-19;2023;P;P;De 10h à 16h;60
THUN-LE-PARADIS;87381822;SAM;2023-11-18;2023;J;J6;De 10h à 16h;203
CROUY-SUR-OURCQ;87116640;JOB;2023-09-19;2023;P;P;De 6h à 10h;251
THUN-LE-PARADIS;87381822;JOB;2023-11-14;2023;J;J6;Après 20h;22
DAMMARTIN-JUILLY-SAINT-MARD;87271536;SAM;2023-11-18;2023;K;K;Après 20h;7
TOURNAN;87116210;DIM;2023-11-19;2023;P;P;Après 20h;52
DAMMARTIN-JUILLY-SAINT-MARD;87271536;SAM;2023-11-18;2023;K;K;De 10h à 16h;46
TOURNAN;87116210;JOB;2022-03-22;2022;E;E;Après 20h;57
DAMMARTIN-JUILLY-SAINT-MARD;87271536;DIM;2023-11-19;2023;K;K;De 16h à 20h;42
TOURNAN;87116210;JOB;2022-03-22;2022;E;E;De 6h à 10h;1078
DAMMARTIN-JUILLY-SAINT-MARD;87271536;JOB;2023-11-14;2023;K;K;De 10h à 16h;66
TOURNAN;87116210;JOB;2023-11-14;2023;P;P;De 6h à 10h;1062
DAMMARTIN-JUILLY-SAINT-MARD;87271536;JOB;2023-11-14;2023;K;K;De 6h à 10h;1340
TRAPPES;87393835;SAM;2016-12-03;2016;U;U;Avant 6h;50
DEUIL-MONTMAGNY;87276345;DIM;2023-11-19;2023;H;H;De 10h à 16h;1035
TRAPPES;87393835;DIM;2023-11-19;2023;N;N;Après 20h;143
DEUIL-MONTMAGNY;87276345;JOB;2023-11-14;2023;H;H;Avant 6h;181
TRAPPES;87393835;DIM;2023-11-19;2023;N;N;De 10h à 16h;592
DEUIL-MONTMAGNY;87276345;JOB;2023-11-14;2023;H;H;De 6h à 10h;2408
TRAPPES;87393835;JOB;2016-03-17;2016;U;U;Après 20h;99
DOMONT;87276436;SAM;2023-11-18;2023;H;H;De 10h à 16h;834
TRAPPES;87393835;JOB;2016-03-17;2016;U;U;De 10h à 16h;489
DOMONT;87276436;DIM;2023-11-19;2023;H;H;De 10h à 16h;587
TRIE-CHATEAU;87381236;DIM;2023-11-19;2023;J;J6;De 10h à 16h;18
DOMONT;87276436;DIM;2023-11-19;2023;H;H;De 6h à 10h;245
TRIE-CHATEAU;87381236;DIM;2023-11-19;2023;J;J6;De 6h à 10h;1
DORDIVES;87684233;SAM;2023-11-18;2023;R;R;Après 20h;11
TRIE-CHATEAU;87381236;JOB;2023-11-14;2023;J;J6;De 10h à 16h;3
DORDIVES;87684233;DIM;2023-11-19;2023;R;R;Après 20h;8
TRIE-CHATEAU;87381236;JOB;2023-11-14;2023;J;J6;De 16h à 20h;8
DORDIVES;87684233;DIM;2023-11-19;2023;R;R;Avant 6h;4
TRIEL-SUR-SEINE;87381806;SAM;2023-11-18;2023;J;J6;Avant 6h;12
DORDIVES;87684233;DIM;2023-11-19;2023;R;R;De 10h à 16h;48
TRIEL-SUR-SEINE;87381806;DIM;2023-11-19;2023;J;J6;Après 20h;28
DORDIVES;87684233;JOB;2023-11-14;2023;R;R;De 10h à 16h;49
TRIEL-SUR-SEINE;87381806;DIM;2023-11-19;2023;J;J6;Avant 6h;7
DORDIVES;87684233;JOB;2023-11-14;2023;R;R;De 16h à 20h;42
TRIEL-SUR-SEINE;87381806;JOB;2023-11-14;2023;J;J6;Après 20h;29
DOURDAN;87545525;JOB;2017-04-25;2017;C;C;De 16h à 20h;271
TRIEL-SUR-SEINE;87381806;JOB;2023-11-14;2023;J;J6;Avant 6h;32
DOURDAN-LA-FORET;87540179;SAM;2017-04-22;2017;C;C;De 10h à 16h;78
TRILPORT;87116491;JOB;2023-09-19;2023;P;P;Avant 6h;78
DRANCY;87271403;SAM;2019-03-16;2019;B;B;Après 20h;851
TRILPORT;87116491;JOB;2023-09-19;2023;P;P;De 10h à 16h;292
DRANCY;87271403;JOB;2023-05-10;2023;B;B;De 16h à 20h;2031
TRILPORT;87116491;JOB;2023-09-19;2023;P;P;De 16h à 20h;359
DREUX;87393488;DIM;2023-11-19;2023;N;N;Avant 6h;59
US;87381178;SAM;2023-11-18;2023;J;J6;De 10h à 16h;16
DREUX;87393488;DIM;2023-11-19;2023;N;N;De 16h à 20h;426
US;87381178;DIM;2023-11-19;2023;J;J6;Après 20h;2
DUGNY-LA-COURNEUVE;87697342;SAM;2021-11-20;2021;T11;T11;Après 20h;82
US;87381178;JOB;2023-11-14;2023;J;J6;Après 20h;1
DUGNY-LA-COURNEUVE;87697342;SAM;2021-11-20;2021;T11;T11;De 10h à 16h;370
VAIRES-TORCY;87116293;SAM;2023-11-18;2023;P;P;Avant 6h;44
DUGNY-LA-COURNEUVE;87697342;JOB;2021-11-23;2021;T11;T11;De 16h à 20h;464
VAIRES-TORCY;87116293;DIM;2023-11-19;2023;P;P;De 6h à 10h;229
DUGNY-LA-COURNEUVE;87697342;JOB;2021-11-23;2021;T11;T11;De 6h à 10h;759
VAIRES-TORCY;87116293;JOB;2023-11-14;2023;P;P;Après 20h;115
ECOUEN-EZANVILLE;87276394;SAM;2023-11-18;2023;H;H;Avant 6h;22
VAIRES-TORCY;87116293;JOB;2023-11-14;2023;P;P;De 16h à 20h;630
ECOUEN-EZANVILLE;87276394;SAM;2023-11-18;2023;H;H;De 10h à 16h;593
VAIRES-TORCY;87116293;JOB;2023-11-14;2023;P;P;De 6h à 10h;1929
ECOUEN-EZANVILLE;87276394;DIM;2023-11-19;2023;H;H;Avant 6h;11
VAL-D'ARGENTEUIL;87381798;DIM;2023-11-19;2023;J;J6;De 10h à 16h;1912
EGLY;87545475;SAM;2017-04-22;2017;C;C;Après 20h;27
VAL-D'ARGENTEUIL;87381798;DIM;2023-11-19;2023;J;J6;De 6h à 10h;855
EGLY;87545475;JOB;2017-04-25;2017;C;C;De 10h à 16h;169
VAL-DE-FONTENAY;87113712;SAM;2022-03-19;2022;E;E;Après 20h;2314
EPINAY-SUR-ORGE;87545228;SAM;2017-04-22;2017;C;C;De 16h à 20h;697
VAL-DE-FONTENAY;87113712;SAM;2022-03-19;2022;E;E;Avant 6h;52
EPINAY-SUR-ORGE;87545228;DIM;2017-04-23;2017;C;C;Après 20h;139
VAL-DE-FONTENAY;87113712;SAM;2022-03-19;2022;E;E;De 10h à 16h;4535
EPINAY-SUR-ORGE;87545228;DIM;2017-04-23;2017;C;C;De 10h à 16h;691
VAL-DE-FONTENAY;87113712;SAM;2022-03-19;2022;E;E;De 16h à 20h;5899
EPINAY-SUR-SEINE;87271148;SAM;2021-11-20;2021;T11;T11;Après 20h;480
VALMONDOIS;87276535;DIM;2023-11-19;2023;H;H;Après 20h;25
EPINAY-SUR-SEINE;87271148;SAM;2021-11-20;2021;T11;T11;Avant 6h;56
VALMONDOIS;87276535;JOB;2023-11-14;2023;H;H;Avant 6h;21
EPINAY-SUR-SEINE;87271148;SAM;2021-11-20;2021;T11;T11;De 6h à 10h;553
VANVES-MALAKOFF;87391532;SAM;2023-11-18;2023;N;N;Avant 6h;7
EPINAY-SUR-SEINE;87271148;DIM;2017-04-23;2017;C;C;De 16h à 20h;402
VANVES-MALAKOFF;87391532;SAM;2023-11-18;2023;N;N;De 10h à 16h;545
EPINAY-SUR-SEINE;87271148;DIM;2021-11-21;2021;T11;T11;Après 20h;389
VANVES-MALAKOFF;87391532;SAM;2023-11-18;2023;N;N;De 6h à 10h;200
EPINAY-SUR-SEINE;87271148;JOB;2017-04-25;2017;C;C;De 16h à 20h;641
VANVES-MALAKOFF;87391532;DIM;2023-11-19;2023;N;N;De 10h à 16h;401
EPINAY-SUR-SEINE;87271148;JOB;2017-04-25;2017;C;C;De 6h à 10h;2263
VANVES-MALAKOFF;87391532;JOB;2023-11-14;2023;N;N;Avant 6h;20
EPINAY-SUR-SEINE;87271148;JOB;2021-11-23;2021;T11;T11;Avant 6h;111
VANVES-MALAKOFF;87391532;JOB;2023-11-14;2023;N;N;De 10h à 16h;495
EPINAY-SUR-SEINE;87271148;JOB;2021-11-23;2021;T11;T11;De 16h à 20h;1957
VAUBOYEN;87393538;DIM;2017-04-23;2017;C;C;De 16h à 20h;21
EPINAY-VILLETANEUSE;87271122;SAM;2021-11-20;2021;T11;T11;De 10h à 16h;1116
VAUCELLES;87276626;SAM;2023-11-18;2023;H;H;De 16h à 20h;165
EPINAY-VILLETANEUSE;87271122;SAM;2021-11-20;2021;T11;T11;De 6h à 10h;508
VAUCELLES;87276626;DIM;2023-11-19;2023;H;H;De 10h à 16h;195
EPINAY-VILLETANEUSE;87271122;SAM;2023-11-18;2023;H;H;Après 20h;1231
VAUCRESSON;87382267;SAM;2023-11-18;2023;L;L2;Après 20h;130
EPINAY-VILLETANEUSE;87271122;DIM;2023-11-19;2023;H;H;Après 20h;795
VAUCRESSON;87382267;DIM;2023-11-19;2023;L;L2;De 10h à 16h;399
EPINAY-VILLETANEUSE;87271122;DIM;2023-11-19;2023;H;H;De 10h à 16h;3390
VERNEUIL-L'ETANG;87116079;SAM;2023-11-18;2023;P;P;Après 20h;21
EPINAY-VILLETANEUSE;87271122;DIM;2023-11-19;2023;H;H;De 16h à 20h;2274
VERNEUIL-L'ETANG;87116079;SAM;2023-11-18;2023;P;P;De 10h à 16h;198
EPINAY-VILLETANEUSE;87271122;JOB;2021-11-23;2021;T11;T11;Après 20h;377
VERNOUILLET-VERNEUIL;87386656;SAM;2021-04-12;2021;J;J5;Avant 6h;31
EPINAY-VILLETANEUSE;87271122;JOB;2021-11-23;2021;T11;T11;De 10h à 16h;1262
VERNOUILLET-VERNEUIL;87386656;DIM;2021-05-12;2021;J;J5;De 6h à 10h;160
EPINAY-VILLETANEUSE;87271122;JOB;2023-11-14;2023;H;H;Avant 6h;633
VERNOUILLET-VERNEUIL;87386656;JOB;2021-07-12;2021;J;J5;De 16h à 20h;694
EPLUCHES;87276147;SAM;2023-11-18;2023;H;H;Après 20h;7
VERNOUILLET-VERNEUIL;87386656;JOB;2021-07-12;2021;J;J5;De 6h à 10h;2333
EPLUCHES;87276147;DIM;2023-11-19;2023;H;H;De 10h à 16h;35
VERNOU-SUR-SEINE;87682468;SAM;2023-11-18;2023;R;R;Avant 6h;0
EPONE-MEZIERES;87386763;SAM;2021-04-12;2021;J;J5;De 10h à 16h;220
VERNOU-SUR-SEINE;87682468;SAM;2023-11-18;2023;R;R;De 16h à 20h;18
EPONE-MEZIERES;87386763;SAM;2023-11-18;2023;N;N;De 10h à 16h;122
VERNOU-SUR-SEINE;87682468;SAM;2023-11-18;2023;R;R;De 6h à 10h;13
EPONE-MEZIERES;87386763;DIM;2021-05-12;2021;J;J5;De 16h à 20h;104
VERNOU-SUR-SEINE;87682468;DIM;2023-11-19;2023;R;R;De 10h à 16h;20
EPONE-MEZIERES;87386763;JOB;2021-07-12;2021;J;J5;Après 20h;48
VERNOU-SUR-SEINE;87682468;DIM;2023-11-19;2023;R;R;De 16h à 20h;19
EPONE-MEZIERES;87386763;JOB;2023-11-14;2023;N;N;De 10h à 16h;118
VERSAILLES-CHANTIERS;87393009;SAM;2016-12-03;2016;U;U;De 16h à 20h;612
EPONE-MEZIERES;87386763;JOB;2023-11-14;2023;N;N;De 6h à 10h;280
VERSAILLES-CHANTIERS;87393009;SAM;2023-11-18;2023;N;N;De 6h à 10h;1150
ERAGNY-NEUVILLE;87381418;SAM;2023-11-18;2023;J;J6;Avant 6h;23
VERSAILLES-CHANTIERS;87393009;DIM;2016-03-13;2016;U;U;De 10h à 16h;455
ERAGNY-NEUVILLE;87381418;DIM;2023-11-19;2023;J;J6;Avant 6h;10
VERSAILLES-CHANTIERS;87393009;DIM;2017-04-23;2017;C;C;Après 20h;246
ERAGNY-NEUVILLE;87381418;DIM;2023-11-19;2023;J;J6;De 16h à 20h;175
VERSAILLES-CHANTIERS;87393009;DIM;2023-11-19;2023;N;N;Après 20h;908
ERAGNY-NEUVILLE;87381418;JOB;2023-11-14;2023;J;J6;Avant 6h;54
VERSAILLES-CHANTIERS;87393009;DIM;2023-11-19;2023;N;N;Avant 6h;5
ERMONT-EAUBONNE;87276055;SAM;2023-11-18;2023;H;H;De 16h à 20h;2655
VERSAILLES-CHANTIERS;87393009;JOB;2016-03-15;2016;U;U;De 10h à 16h;198
ERMONT-EAUBONNE;87276055;SAM;2023-11-18;2023;J;J4;De 16h à 20h;1595
VERSAILLES-CHANTIERS;87393009;JOB;2017-04-25;2017;C;C;Après 20h;443
ERMONT-EAUBONNE;87276055;DIM;2017-04-23;2017;C;C;De 6h à 10h;298
VERSAILLES-CHANTIERS;87393009;JOB;2023-11-14;2023;N;N;Après 20h;1405
ERMONT-EAUBONNE;87276055;DIM;2023-11-19;2023;H;H;De 10h à 16h;2500
VERSAILLES-CHANTIERS;87393009;JOB;2023-11-14;2023;N;N;De 16h à 20h;7524
ERMONT-EAUBONNE;87276055;DIM;2023-11-19;2023;H;H;De 6h à 10h;799
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;SAM;2017-04-22;2017;C;C;De 16h à 20h;5015
ERMONT-EAUBONNE;87276055;JOB;2017-04-25;2017;C;C;Après 20h;613
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;SAM;2017-04-22;2017;C;C;De 6h à 10h;461
ERMONT-EAUBONNE;87276055;JOB;2017-04-25;2017;C;C;De 6h à 10h;5570
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;DIM;2017-04-23;2017;C;C;Avant 6h;13
ERMONT-EAUBONNE;87276055;JOB;2023-11-14;2023;J;J4;De 16h à 20h;2746
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;DIM;2017-04-23;2017;C;C;De 6h à 10h;246
ERMONT-HALTE;87276584;DIM;2023-11-19;2023;H;H;De 10h à 16h;294
VERSAILLES-RIVE-DROITE;87382861;SAM;2023-11-18;2023;L;L2;De 6h à 10h;645
ERMONT-HALTE;87276584;DIM;2023-11-19;2023;H;H;De 6h à 10h;72
VERSAILLES-RIVE-DROITE;87382861;DIM;2023-11-19;2023;L;L2;Avant 6h;22
ERMONT-HALTE;87276584;JOB;2023-11-14;2023;H;H;Après 20h;74
